id,prediction
0,0.6698328852653503
1,0.6766877174377441
2,0.268830806016922
3,0.6974536180496216
4,0.44435638189315796
5,0.6407332420349121
6,0.2813098430633545
7,0.2817496061325073
8,0.1961224377155304
9,0.7541590929031372
10,0.30559733510017395
11,0.6026375889778137
12,0.696096658706665
13,0.6158839464187622
14,0.5204660296440125
15,0.7113114595413208
16,0.2023358941078186
17,0.7271060347557068
18,0.7095410823822021
19,0.22913172841072083
20,0.6330959796905518
21,0.680314302444458
22,0.45146578550338745
23,0.2159224897623062
24,0.311299204826355
25,0.7162175178527832
26,0.5685797333717346
27,0.6521207690238953
28,0.4150504469871521
29,0.7282320261001587
30,0.502839982509613
31,0.7254779934883118
32,0.41269806027412415
33,0.21949055790901184
34,0.5720772743225098
35,0.7455538511276245
36,0.7338740825653076
37,0.606091320514679
38,0.193278506398201
39,0.35083886981010437
40,0.17613409459590912
41,0.3229762613773346
42,0.16607226431369781
43,0.3203985393047333
44,0.7035302519798279
45,0.6808788776397705
46,0.48162826895713806
47,0.22295215725898743
48,0.5888649821281433
49,0.5578862428665161
50,0.6441863179206848
51,0.43408939242362976
52,0.2388404905796051
53,0.1787324845790863
54,0.5891797542572021
55,0.5393320322036743
56,0.2607993483543396
57,0.7251507639884949
58,0.18046443164348602
59,0.3438761234283447
60,0.7554600238800049
61,0.7312939167022705
62,0.6219470500946045
63,0.3706815540790558
64,0.21493393182754517
65,0.4980279803276062
66,0.6083316802978516
67,0.22300443053245544
68,0.46475064754486084
69,0.47530728578567505
70,0.7113843560218811
71,0.7216447591781616
72,0.15797102451324463
73,0.24377475678920746
74,0.5526936650276184
75,0.731176495552063
76,0.22284476459026337
77,0.7028311491012573
78,0.5147453546524048
79,0.7068154811859131
80,0.45873188972473145
81,0.7322551608085632
82,0.6142719984054565
83,0.5140208005905151
84,0.4365808665752411
85,0.45377564430236816
86,0.5242105722427368
87,0.16093599796295166
88,0.5558992028236389
89,0.24870716035366058
90,0.2405671626329422
91,0.18704822659492493
92,0.2046881765127182
93,0.7246235013008118
94,0.5933791399002075
95,0.6419225931167603
96,0.22231630980968475
97,0.7267016172409058
98,0.7243819236755371
99,0.5490872263908386
100,0.6824892163276672
101,0.5934710502624512
102,0.5213956236839294
103,0.6300223469734192
104,0.24560533463954926
105,0.7214798331260681
106,0.5984196066856384
107,0.7314293384552002
108,0.22027093172073364
109,0.5436630249023438
110,0.6580414175987244
111,0.687463641166687
112,0.26293256878852844
113,0.20889683067798615
114,0.25984111428260803
115,0.662786066532135
116,0.45096057653427124
117,0.20531296730041504
118,0.46321168541908264
119,0.18386690318584442
120,0.4416286051273346
121,0.6839144825935364
122,0.6801313161849976
123,0.19331030547618866
124,0.21207238733768463
125,0.2080395221710205
126,0.6972589492797852
127,0.247853621840477
128,0.6205596923828125
129,0.37380295991897583
130,0.7126730680465698
131,0.546870231628418
132,0.4194297194480896
133,0.21360686421394348
134,0.4626011848449707
135,0.7398447394371033
136,0.46038535237312317
137,0.7094125747680664
